time,open,high,low,close,volume
2025-04-08,79163.24,80867.99,76239.9,76322.42,
2025-04-09,76322.42,83588,74620,82615.22,
2025-04-10,82615.22,82753.21,78464.36,79607.3,
2025-04-11,79607.3,84300,78969.58,83423.84,
2025-04-12,83423.83,85905,82792.95,85276.9,
2025-04-13,85276.91,86100,83034.23,83760,
2025-04-14,83760,85799.99,83678,84591.58,
2025-04-15,84591.58,86496.42,83600,83643.99,
2025-04-16,83643.99,85500,83111.64,84030.38,
2025-04-17,84030.38,85470.01,83736.26,84947.91,
2025-04-18,84947.92,85132.08,84303.96,84474.69,
2025-04-19,84474.7,85677.99,84364.45,85077.01,
2025-04-20,85077,85320.76,83949.52,85179.24,
2025-04-21,85179.24,88465.99,85144.76,87516.23,
2025-04-22,87516.22,93888,87076.03,93442.99,
2025-04-23,93442.99,94696.05,91935.41,93691.08,
2025-04-24,93691.07,94005,91660.01,93980.47,
2025-04-25,93980.47,95758.04,92855.96,94638.68,
2025-04-26,94638.68,95199,93870.69,94628,
2025-04-27,94628,95369,93602.58,93749.3,
2025-04-28,93749.29,95630,92800.01,95011.18,
2025-04-29,95011.18,95461.53,93742.54,94256.82,
2025-04-30,94256.82,95228.45,92910,94172,
2025-05-01,94172,97424.02,94130.43,96489.91,
2025-05-02,96489.9,97895.68,96350,96887.14,
2025-05-03,96887.13,96935.67,95753.01,95856.42,
2025-05-04,95856.42,96304.48,94151.38,94277.62,
2025-05-05,94277.61,95199,93514.1,94733.68,
2025-05-06,94733.68,96920.65,93377,96834.02,
2025-05-07,96834.02,97732,95784.61,97030.5,
2025-05-08,97030.5,104145.76,96876.29,103261.6,
2025-05-09,103261.61,104361.3,102315.14,102971.99,
2025-05-10,102971.99,104984.57,102818.76,104809.53,
2025-05-11,104809.53,104972,103345.06,104118,
2025-05-12,104118,105819.45,100718.37,102791.32,
2025-05-13,102791.32,104976.25,101429.7,104103.72,
2025-05-14,104103.72,104356.95,102602.05,103507.82,
2025-05-15,103507.83,104192.7,101383.07,103763.71,
2025-05-16,103763.71,104550.33,103100.49,103463.9,
2025-05-17,103463.9,103709.86,102612.5,103126.65,
2025-05-18,103126.65,106660,103105.09,106454.26,
2025-05-19,106454.27,107108.62,102000,105573.74,
2025-05-20,105573.73,107320,104184.72,106849.99,
2025-05-21,106850,110797.38,106100.01,109643.99,
2025-05-22,109643.99,111980,109177.37,111696.21,
2025-05-23,111696.22,111800,106800,107318.3,
2025-05-24,107318.3,109506.03,106875.41,107761.91,
2025-05-25,107761.9,109299.99,106600.64,109004.19,
2025-05-26,109004.2,110422.22,108670.58,109434.79,
2025-05-27,109434.78,110718,107516.57,108938.17,
2025-05-28,108938.17,109284.7,106769.43,107781.78,
2025-05-29,107781.78,108891.91,105322.86,105589.75,
2025-05-30,105589.75,106313.12,103621,103985.48,
2025-05-31,103985.47,104900,103068.55,104591.88,
2025-06-01,104591.88,105866.91,103752.49,105642.93,
2025-06-02,105642.93,105935.63,103659.88,105857.99,
2025-06-03,105858,106794.67,104872.5,105376.89,
2025-06-04,105376.9,106000,104179,104696.86,
2025-06-05,104696.86,105909.71,100372.26,101508.68,
2025-06-06,101508.69,105333,101095.8,104288.44,
2025-06-07,104288.43,105900,103871.09,105552.15,
2025-06-08,105552.15,106488.14,104964.14,105734,
2025-06-09,105734.01,110530.17,105318.37,110263.02,
2025-06-10,110263.02,110400,108331.03,110274.39,
2025-06-11,110274.39,110392.01,108064,108645.12,
2025-06-12,108645.13,108813.55,105671.72,105671.73,
2025-06-13,105671.74,106179.53,102664.31,106066.59,
2025-06-14,106066.59,106252,104300,105414.64,
2025-06-15,105414.63,106128.57,104494.53,105594.01,
2025-06-16,105594.02,108952.38,104980.37,106794.53,
2025-06-17,106794.53,107771.34,103371.02,104551.17,
2025-06-18,104551.17,105550.27,103500,104886.78,
2025-06-19,104886.79,105226.17,103929.27,104658.59,
2025-06-20,104658.59,106524.65,102345,103297.99,
2025-06-21,103297.98,103982.64,100837.9,102120.01,
2025-06-22,102120.02,103399.62,98200,100963.87,
2025-06-23,100963.87,106074.2,99613.33,105333.93,
2025-06-24,105333.94,106290,104622.02,106083,
2025-06-25,106083,108135.3,105808.03,107340.58,
2025-06-26,107340.59,108272.45,106562.5,106947.06,
2025-06-27,106947.06,107735.34,106356.76,107047.59,
2025-06-28,107047.58,107577.75,106811.51,107296.79,
2025-06-29,107296.79,108528.5,107172.52,108356.93,
2025-06-30,108356.93,108789.99,106733.33,107146.5,
2025-07-01,107146.51,107540,105250.85,105681.14,
2025-07-02,105681.13,109730,105100.19,108849.6,
2025-07-03,108849.59,110529.18,108530.4,109584.78,
2025-07-04,109584.77,109767.59,107245,107984.24,
2025-07-05,107984.25,108420.56,107756.31,108198.12,
2025-07-06,108198.12,109700,107800.01,109203.84,
2025-07-07,109203.85,109700,107513.2,108262.94,
2025-07-08,108262.94,109216.56,107429.57,108922.98,
2025-07-09,108922.99,111999.79,108324.53,111233.99,
2025-07-10,111234,116868,110500,116010,
2025-07-11,116010.01,118869.98,115222.22,117527.66,
2025-07-12,117527.66,118200,116900.05,117420,
2025-07-13,117420,119488,117224.79,119086.64,
2025-07-14,119086.65,123218,118905.18,119841.18,
2025-07-15,119841.17,119940.83,115736.92,117758.09,
2025-07-16,117758.08,120063.84,117017.29,118630.43,
2025-07-17,118630.44,120998.71,117453.57,119177.56,
2025-07-18,119177.56,120820.71,116812.76,117924.84,
2025-07-19,117924.84,118499.9,117277.34,117840,
2025-07-20,117840.01,118856.8,116467.02,117265.12,
2025-07-21,117265.11,119676.73,116515,117380.36,
2025-07-22,117380.36,120247.8,116128,119954.42,
2025-07-23,119954.43,120090,117301,118755.99,
2025-07-24,118756,119450,117103.1,118340.99,
2025-07-25,118340.98,118451.57,114723.16,117614.31,
2025-07-26,117614.31,118297.35,117138.38,117919.99,
2025-07-27,117919.99,119766.65,117825.5,119415.55,
2025-07-28,119415.56,119800,117427.5,118062.32,
2025-07-29,118062.32,119273.36,116950.75,117950.76,
2025-07-30,117950.75,118792,115796.23,117840.3,
2025-07-31,117840.29,118922.45,115500,115764.08,
2025-08-01,115764.07,116052,112722.58,113297.93,
2025-08-02,113297.92,114063.49,112003,112546.35,
2025-08-03,112546.35,114799.97,111920,114208.8,
2025-08-04,114208.81,115720,114107.6,115055.03,
2025-08-05,115055.03,115127.81,112650,114129.75,
2025-08-06,114129.75,115716,113355.13,114992.27,
2025-08-07,114992.27,117621,114259,117472.01,
2025-08-08,117472.02,117630,115878.71,116674.74,
2025-08-09,116674.74,117944.05,116299.13,116462.25,
2025-08-10,116462.25,119311.11,116460.63,119294.01,
2025-08-11,119294.27,122335.16,118050.11,118686,
2025-08-12,118686,120324.43,118207.47,120134.08,
2025-08-13,120134.09,123667.79,118920.92,123306.43,
2025-08-14,123306.44,124474,117180,118295.09,
2025-08-15,118295.09,119216.82,116803.99,117342.05,
2025-08-16,117342.04,117898.99,117143.98,117380.66,
2025-08-17,117380.66,118575,117172.21,117405.01,
2025-08-18,117405.01,117543.75,114640.14,116227.05,
2025-08-19,116227.05,116725.69,112732.58,112872.94,
2025-08-20,112872.95,114615.38,112380,114271.24,
2025-08-21,114271.23,114821.76,112015.67,112500,
2025-08-22,112500,117429.05,111684.79,116935.99,
2025-08-23,116936,117030,114560,115438.05,
2025-08-24,115438.06,115666.68,110680,113493.59,
2025-08-25,113493.59,113667.28,109274.1,110111.98,
2025-08-26,110111.98,112371,108666.66,111763.22,
2025-08-27,111763.22,112625,110345.42,111262.01,
2025-08-28,111262.01,113485.9,110862.42,112566.9,
2025-08-29,112566.9,112638.64,107463.9,108377.4,
2025-08-30,108377.4,108926.15,107350.1,108816.33,
2025-08-31,108816.33,109480.02,108076.93,108246.35,
2025-09-01,108246.36,109912.4,107255,109237.42,
2025-09-02,109237.43,111771.52,108393.39,111240.01,
2025-09-03,111240.01,112575.27,110528.71,111705.71,
2025-09-04,111705.72,112180,109329.12,110730.87,
2025-09-05,110730.87,113384.62,110206.96,110659.99,
2025-09-06,110660,111307.7,109977,110187.97,
2025-09-07,110187.98,111600,110180,111137.34,
2025-09-08,111137.35,112924.37,110621.78,112065.23,
2025-09-09,112065.23,113293.29,110766.66,111546.39,
2025-09-10,111546.38,114313.13,110917.45,113960,
2025-09-11,113960,115488.09,113430,115482.69,
2025-09-12,115482.69,116665.63,114740.99,116029.42,
2025-09-13,116029.41,116298.78,115127.27,115918.29,
2025-09-14,115918.29,116165.19,115135,115268.01,
2025-09-15,115268.01,116757.99,114384,115349.71,
2025-09-16,115349.71,116964.27,114737.11,116788.96,
2025-09-17,116788.96,117286.73,114720.81,116447.59,
