time,open,high,low,close,volume
2025-01-01 00:00:00,93576,94509.42,93489.03,93838.04,
2025-01-01 04:00:00,93838.04,93937.19,93500,93684.1,
2025-01-01 08:00:00,93684.11,93756.02,92888,93444.64,
2025-01-01 12:00:00,93444.65,94500,93407.07,94432.94,
2025-01-01 16:00:00,94432.94,94823.75,93760.93,94627.07,
2025-01-01 20:00:00,94627.08,95151.15,94542,94591.79,
2025-01-02 00:00:00,94591.78,95516,94392,95010.33,
2025-01-02 04:00:00,95010.34,96000,94984.84,95822,
2025-01-02 08:00:00,95822.01,96876.38,95640.05,96732.99,
2025-01-02 12:00:00,96733,97440.91,95924.6,96455.01,
2025-01-02 16:00:00,96455.01,97777,96040.04,97317.74,
2025-01-02 20:00:00,97317.74,97839.5,96666.66,96984.79,
2025-01-03 00:00:00,96984.79,97342.44,96650,97062.3,
2025-01-03 04:00:00,97062.3,97066.18,96280.65,96304,
2025-01-03 08:00:00,96304,96830,96100.01,96757.58,
2025-01-03 12:00:00,96757.57,97660,96472.43,97521.35,
2025-01-03 16:00:00,97521.36,98976.91,97406.54,98592.01,
2025-01-03 20:00:00,98592.02,98748,98067.99,98174.18,
2025-01-04 00:00:00,98174.17,98314.15,97800,98200,
2025-01-04 04:00:00,98200.01,98350.04,97862.87,98271.88,
2025-01-04 08:00:00,98271.87,98306.22,97532.58,97889.39,
2025-01-04 12:00:00,97889.4,98152.02,97514.79,97657.94,
2025-01-04 16:00:00,97657.95,98350,97549.99,98166.26,
2025-01-04 20:00:00,98166.26,98778.43,98143.2,98220.5,
2025-01-05 00:00:00,98220.51,98391.59,98050,98187.96,
2025-01-05 04:00:00,98187.97,98522.76,98187.96,98268.77,
2025-01-05 08:00:00,98268.77,98268.78,97600,97641.63,
2025-01-05 12:00:00,97641.62,98281.89,97276.79,98028.98,
2025-01-05 16:00:00,98028.98,98332.54,97577.46,98079.63,
2025-01-05 20:00:00,98079.64,98836.85,98024,98363.61,
2025-01-06 00:00:00,98363.61,99333,97920,99037.57,
2025-01-06 04:00:00,99037.57,99892,99037.57,99318.7,
2025-01-06 08:00:00,99318.7,99625.69,98709.28,99259.99,
2025-01-06 12:00:00,99259.99,102468.92,98711.94,102147.95,
2025-01-06 16:00:00,102147.95,102480,101250,101817.22,
2025-01-06 20:00:00,101817.22,102329.98,101600.05,102235.6,
2025-01-07 00:00:00,102235.6,102724.38,101512.91,101708.08,
2025-01-07 04:00:00,101708.09,102015.01,101582.79,101664.81,
2025-01-07 08:00:00,101664.81,101995.64,100472.45,100830.86,
2025-01-07 12:00:00,100830.86,100960.06,97153.5,97952.26,
2025-01-07 16:00:00,97952.26,98347.81,96323.67,96451.98,
2025-01-07 20:00:00,96451.99,97220.76,96181.81,96954.61,
2025-01-08 00:00:00,96954.6,97268.65,96216.83,96525.2,
2025-01-08 04:00:00,96525.2,96654.61,95250.76,95657.09,
2025-01-08 08:00:00,95657.09,96132.47,94543.86,95134.92,
2025-01-08 12:00:00,95134.92,96079.32,94624.43,95493.77,
2025-01-08 16:00:00,95493.77,95555.25,92500.9,94243.89,
2025-01-08 20:00:00,94243.89,95310.94,93600,95060.61,
2025-01-09 00:00:00,95060.61,95382.32,93422.89,94027.9,
2025-01-09 04:00:00,94027.91,94618.63,93186.38,93221.59,
